nombre;referencia;codigo_barras;invima;cum;codigo_producto_dian;existencias;impuesto;precioventa_con_impuesto;precio_venta_base;precio_venta_minimo;descuento_maximo_ps;precio_compra;precio_compraipm;total_impoconsumo;total_estampilla;icui;ibua;costo;stock_minino;es_ingrediente;manejo_bascula;vender_solo_existencia;realizar_pedido_solo_existencia;utilidad;mostrar_tienda;categoria;marca;codigo_cuenta;precio1;precio2;precio3;precio4;ubicacion;proveedor;nit_proveedor;url_imagen;nota;tipo_producto
CARGADOR CDR 372 TPC;;;;;;1143;0;9583;9583;0;0;8800;8800;0;0;0;0;8800;5;;;;1;8.170718982;TRUE;ACCESORIOS;GENERICA;;17944.44444;0;0;0;;HARVIC;333333333333;;;Estandar
CARGADOR CDR 372 V8;;;;;;1167;0;8984;8984;0;0;8250;8250;0;0;0;0;8250;5;;;;1;8.170080142;TRUE;ACCESORIOS;GENERICA;;17354.16667;0;0;0;;HARVIC;333333333333;;;Estandar
CARGADOR DE IP 14 PRO MAX 25W;;;;;;1292;0;14974;14974;0;0;10450;10450;0;0;0;0;10450;5;;;;1;30.2123681;TRUE;ACCESORIOS;GENERICA;;23256.94444;0;0;0;;MARTECH;7942;;;Estandar
CARGADOR DE IP 16 PRO MAX 35W;;;;;;1000;0;15573;15573;0;0;14444.44444;14444.44444;0;0;0;0;14444.44444;5;;;;1;7.246873149;TRUE;ACCESORIOS;GENERICA;;23847.22222;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR DE RELOJ 119;;;;;;1050;0;7116;7116.12;0;;6600;6600;0;0;0;0;6600;5;;;;1;7.252828789;TRUE;ACCESORIOS;GENERICA;;13812.5;0;0;0;;SKINY;99766;;;Estandar
CARGADOR DE SAMSUNG 25W;;;;;;2233;0;11979;11979;0;0;10450;10450;0;0;0;0;10450;5;;;;1;12.76400367;TRUE;ACCESORIOS;GENERICA;;20305.55556;0;0;0;;MARTECH;7942;;;Estandar
CARGADOR GENERICO V3;;;;;;976;0;3115;3115;0;0;2888.888889;2888.888889;0;0;0;0;2888.888889;5;;;;1;7.258783663;TRUE;ACCESORIOS;GENERICA;;11569.44444;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR GENERICO V8;;;;;;1100;0;3234;3234;0;0;3000;3000;0;0;0;0;3000;5;;;;1;7.235621521;TRUE;ACCESORIOS;GENERICA;;11687.5;0;0;0;;KINOTEC MEDELLIN;;;;Estandar
CARGADOR IPHONE 20W;;;;;;1197;0;15573;15573;0;0;11000;11000;0;0;0;0;11000;5;;;;1;29.36492648;TRUE;ACCESORIOS;GENERICA;;23847.22222;0;0;0;;BOOST TECH;98798;;;Estandar
CARGADOR MOTOROLA 125W;;;;;;1000;0;20365;20365;0;0;18888.88889;18888.88889;0;0;0;0;18888.88889;5;;;;1;7.248274545;TRUE;ACCESORIOS;GENERICA;;28569.44444;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR ORIGINAL IPHONE 20W;;;;;;999;0;35938;35938;0;0;33333.33333;33333.33333;0;0;0;0;33333.33333;5;;;;1;7.247667279;TRUE;ACCESORIOS;GENERICA;;43916.66667;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR PARLANTE 12W;;;;;;999;0;10542;10542;0;0;9777.777778;9777.777778;0;0;0;0;9777.777778;5;;;;1;7.24930964;TRUE;ACCESORIOS;GENERICA;;18888.88889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR PARLANTE 5W;;;;;;999;0;8146;8146;0;0;7555.555556;7555.555556;0;0;0;0;7555.555556;5;;;;1;7.248274545;TRUE;ACCESORIOS;GENERICA;;16527.77778;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR PARLANTE 9W;;;;;;994;0;10182;10182;0;0;9444.444444;9444.444444;0;0;0;0;9444.444444;5;;;;1;7.243719854;TRUE;ACCESORIOS;GENERICA;;18534.72222;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR RELOJ W8;;;;;;1000;0;5391;5391;0;0;5000;5000;0;0;0;0;5000;5;;;;1;7.252828789;TRUE;ACCESORIOS;GENERICA;;13812.5;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR SAMSUNG 25W;;;;;;998;0;12938;12938;0;0;12000;12000;0;0;0;0;12000;5;;;;1;7.249961354;TRUE;ACCESORIOS;GENERICA;;21250;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR SAMSUNG 25W;;;;;;997;0;11979;11979;0;0;11111.11111;11111.11111;0;0;0;0;11111.11111;5;;;;1;7.245086308;TRUE;ACCESORIOS;GENERICA;;20305.55556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR SAMSUNG 45W;;;;;;1316;0;13177;13177;0;0;11000;11000;0;0;0;0;11000;5;;;;1;16.5212112;TRUE;ACCESORIOS;GENERICA;;21486.11111;0;0;0;;DAKAR TECHNOLOGY;8433;;;Estandar
CARGADOR SAMSUNG ORIGINAL TC BOLSA;;;;;;994;0;8984;8984;0;0;8333.333333;8333.333333;0;0;0;0;8333.333333;5;;;;1;7.242505194;TRUE;ACCESORIOS;GENERICA;;17354.16667;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR SAMSUNG ORIGINAL V8 BOLSA;;;;;;995;0;8385;8385;0;0;7777.777778;7777.777778;0;0;0;0;7777.777778;5;;;;1;7.241767707;TRUE;ACCESORIOS;GENERICA;;16763.88889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR TC 3.1;;;;;;989;0;7786;7786;0;0;7222.222222;7222.222222;0;0;0;0;7222.222222;5;;;;1;7.240916745;TRUE;ACCESORIOS;GENERICA;;16173.61111;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR TC 5A;;;;;;1000;0;11380;11380;0;0;10555.55556;10555.55556;0;0;0;0;10555.55556;5;;;;1;7.244678774;TRUE;ACCESORIOS;GENERICA;;19715.27778;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR TC BOLSA JB-C04;;;;;;979;0;5391;5391;0;0;5000;5000;0;0;0;0;5000;5;;;;1;7.252828789;TRUE;ACCESORIOS;GENERICA;;13812.5;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR TICPO C AD-04;;;;;;1000;0;6589;6589;0;0;6111.111111;6111.111111;0;0;0;0;6111.111111;5;;;;1;7.252828789;TRUE;ACCESORIOS;GENERICA;;14993.05556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR UNIVERSAL ZD668;;;;;;993;0;16771;16771;0;0;15555.55556;15555.55556;0;0;0;0;15555.55556;5;;;;1;7.247298578;TRUE;ACCESORIOS;GENERICA;;25027.77778;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
