nombre;referencia;codigo_barras;invima;cum;codigo_producto_dian;existencias;impuesto;precioventa_con_impuesto;precio_venta_base;precio_venta_minimo;descuento_maximo_ps;precio_compra;precio_compraipm;total_impoconsumo;total_estampilla;icui;IBUA;costo;stock_minimo;es_ingrediente;manejo_bascula;vender_solo_existencia;realizar_pedido_solo_existencia;utilidad;mostrar_tienda;categoria;marca;codigo_cuenta;precio1;precio2;precio3;precio4;ubicacion;proveedor;nit_proveedor;url_imagen;nota;tipo_producto
CABLE USB IPHONE 1M;;;;;;994;0;3594;3593.75;0;0;3333.333333;3333.333333;0;0;0;0;3333.333333;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;12041.66667;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLES CB 100 TPC;;;;;;1405;0;3714;3713.541667;0;0;3300;3300;0;0;0;0;3300;5;FALSE;FALSE;FALSE;1;11.13604488;TRUE;ACCESORIOS;GENERICA;;12159.72222;0;0;0;;HARVIC;3.33E+11;;;Estandar
CABLES CB 100 V8;;;;;;1406;0;3354;3354.166667;0;0;2970;2970;0;0;0;0;2970;5;FALSE;FALSE;FALSE;1;11.45341615;TRUE;ACCESORIOS;GENERICA;;11805.55556;0;0;0;;HARVIC;3.33E+11;;;Estandar
CABLES CB 120 TPC;;;;;;969;0;2635;2635.416667;0;0;2444.444444;2444.444444;0;0;0;0;2444.444444;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;11097.22222;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLES CB 120 V8;;;;;;1000;0;2276;2276.041667;0;0;2111.111111;2111.111111;0;0;0;0;2111.111111;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;10743.05556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CACLE XIAOMI TC TC;;;;;;999;0;5391;5390.625;0;0;5000;5000;0;0;0;0;5000;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;13812.5;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR 6 PINES XAILO AD668;;;;;;997;0;17370;17369.79167;0;0;16111.11111;16111.11111;0;0;0;0;16111.11111;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;25618.05556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR BOLSA;;;;;;987;0;5990;5989.583333;0;0;5555.555556;5555.555556;0;0;0;0;5555.555556;5;FALSE;FALSE;FALSE;1;7.246376811;TRUE;ACCESORIOS;GENERICA;;14402.77778;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR BOLSA;;;;;;987;0;6589;6588.541667;0;0;6111.111111;6111.111111;0;0;0;0;6111.111111;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;14993.05556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CARGADOR CAJA ROSADA 20W;;;;;;803;0;15573;15572.91667;0;0;14444.44444;14444.44444;0;0;0;0;14444.44444;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;23847.22222;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
